Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR12999732,RNA-Seq,202,4746628320,PRJNA675090,SAMN16687786,2562552214,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450977,GSM4887615,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:25:00Z,1,GSM4887615,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999733,RNA-Seq,202,4575566438,PRJNA675090,SAMN16687785,2471027071,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450978,GSM4887616,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:26:00Z,1,GSM4887616,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999734,RNA-Seq,202,4796098726,PRJNA675090,SAMN16687784,2629180094,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450979,GSM4887617,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:27:00Z,1,GSM4887617,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999735,RNA-Seq,202,4597882792,PRJNA675090,SAMN16687783,2481118063,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450980,GSM4887618,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:26:00Z,1,GSM4887618,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999736,RNA-Seq,202,4502651508,PRJNA675090,SAMN16687782,2400724968,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450981,GSM4887619,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:26:00Z,1,GSM4887619,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999737,RNA-Seq,202,4662993250,PRJNA675090,SAMN16687781,2517327472,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450982,GSM4887620,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:27:00Z,1,GSM4887620,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999738,RNA-Seq,202,4394150844,PRJNA675090,SAMN16687780,2365557504,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450983,GSM4887621,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:26:00Z,1,GSM4887621,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999739,RNA-Seq,202,4782957818,PRJNA675090,SAMN16687734,2572025755,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450984,GSM4887622,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:27:00Z,1,GSM4887622,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999740,RNA-Seq,202,4068642994,PRJNA675090,SAMN16687733,2194154953,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450985,GSM4887623,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:24:00Z,1,GSM4887623,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
SRR12999741,RNA-Seq,202,4563529056,PRJNA675090,SAMN16687732,2454191994,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Hypertrophic cardiomyopathy (HCM),SRX9450986,GSM4887624,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-09T00:00:00Z,2020-11-06T13:27:00Z,1,GSM4887624,anterior septal tissues,SRP291446,anterior septal tissues derived from frozen hearts
