Patient	RNAseq_ID	WES_ID
HCM1	SRR12999732	SRR12999750
HCM2	SRR12999733	SRR12999751
HCM3	SRR12999734	SRR12999752
HCM4	SRR12999735	SRR12999753
HCM5	SRR12999736	SRR12999754
HCM6	SRR12999737	SRR12999755
HCM7	SRR12999738	SRR12999756
HCM8	SRR12999739	SRR12999757
HCM9	SRR12999740	SRR12999758
HCM11	SRR12999742	SRR12999760
HCM12	SRR12999743	SRR12999761
HCM13	SRR12999744	SRR12999762
HCM14	SRR12999745	SRR12999763
HCM15	SRR12999746	SRR12999764
HCM16	SRR12999747	SRR12999765
HCM17	SRR12999748	SRR12999766
HCM18	SRR12999749	SRR12999767
